rating,opponent,result,colour,timestamp
1200.0,no opponent,0,no colour,2020-06-06 18:24:25.013844
1250,dad,1.0,white,2020-06-07 18:24:25.013844
1193,dad,0.0,white,2020-06-09 18:16:23.143594
1252,dad,1.0,white,2020-06-10 11:23:11.335846
1294,dad,1.0,white,2020-06-11 18:41:44.486359
1325,dad,1.0,white,2020-06-12 16:16:59.497796
1349,dad,1.0,black,2020-06-12 16:17:19.696345
1368,dad,1.0,black,2020-06-13 16:17:25.538053
1384,dad,1.0,white,2020-06-13 16:17:32.591348
1398.0,dad,1.0,black,2020-06-14 14:38:16.136745
1310.0,dad,0.0,black,2020-06-15 19:49:27.689108
1237.0,dad,0.0,black,2020-06-17 00:13:57.950593
1284.0,dad,1.0,black,2020-06-18 01:29:53.804717
